station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,9,5409,0,0,29.0479,13.1729,14.5604,0.0,0.0,1519,1288.0,0.0,0.0,4.12,13.15,0.0,0.0,265,0.0,0.0,0.0,one,SR,1
0,20,9391,2433,0,100.1302,34.1199,30.6857,31.6285,0.0,3141,2491.0,2785.0,0.0,-0.28,18.03,18.93,0.0,650,0.0,152.0,0.0,many,SR,2
0,4118,6077,5186,2125,91.0425,32.0163,17.156,21.2741,17.156,2084,1288.0,1993.0,1288.0,-9.08,10.54,13.31,10.54,405,0.0,251.0,0.0,many,SR,3
0,67,1242,482,0,56.0634,20.4095,15.3106,18.2551,0.0,1580,1149.0,1470.0,0.0,-2.2,9.68,11.2,0.0,264,13.0,66.0,0.0,many,SR,2
0,4171,6697,0,0,60.8048,31.6194,26.8868,0.0,0.0,2709,2557.0,0.0,0.0,7.76,22.99,0.0,0.0,19,0.0,0.0,0.0,one,SR,1
0,4203,6288,634,0,65.0448,27.9182,17.2712,17.7116,0.0,2888,1314.0,1339.0,0.0,11.03,10.62,10.82,0.0,181,12.0,3.0,0.0,many,SR,2
0,127,5397,1608,0,44.1885,17.1832,13.6676,11.6272,0.0,1233,1233.0,819.0,0.0,-2.45,9.22,7.88,0.0,178,178.0,0.0,0.0,many,SR,2
161,4225,9902,1262,0,54.5642,16.3348,21.5734,15.3101,0.0,1198,2502.0,1728.0,0.0,0.47,10.57,8.89,0.0,41,775.0,517.0,0.0,many,RT,2
0,134,6854,1525,0,59.6193,27.8513,14.9363,14.9363,0.0,2634,1100.0,1100.0,0.0,10.6,9.48,9.48,0.0,10,0.0,0.0,0.0,many,SR,2
0,4257,3773,1916,0,48.9966,19.4987,13.9195,13.7879,0.0,1511,1013.0,1002.0,0.0,-0.25,8.98,8.92,0.0,155,0.0,0.0,0.0,many,SR,2
0,164,3209,0,0,29.2869,15.42,12.6795,0.0,0.0,1433,1108.0,0.0,0.0,4.36,11.87,0.0,0.0,66,0.0,0.0,0.0,one,SR,1
0,4280,5852,500,0,45.2351,19.5978,11.4679,12.5338,0.0,1874,816.0,1042.0,0.0,4.96,7.82,8.54,0.0,156,8.0,108.0,0.0,many,SR,2
0,4283,3741,0,0,25.3384,13.6273,10.6617,0.0,0.0,1102,913.0,0.0,0.0,2.13,10.49,0.0,0.0,22,0.0,0.0,0.0,one,SR,1
0,194,9535,0,0,33.6273,17.2396,15.0406,0.0,0.0,1575,1334.0,0.0,0.0,4.41,13.47,0.0,0.0,77,0.0,0.0,0.0,one,SR,1
0,200,6362,434,0,86.5376,34.3009,19.9357,29.3357,0.0,2608,1529.0,2608.0,0.0,0.7,11.97,17.68,0.0,173,0.0,173.0,0.0,many,SR,2
0,208,5312,0,0,36.2795,18.8592,16.0074,0.0,0.0,1749,1427.0,0.0,0.0,5.65,14.13,0.0,0.0,61,0.0,0.0,0.0,one,SR,1
0,4322,9179,5944,0,45.5434,18.6111,12.4784,12.7796,0.0,1717,891.0,926.0,0.0,2.96,8.29,8.45,0.0,192,0.0,7.0,0.0,many,SR,2
0,228,2127,348,0,42.6821,16.8432,12.7561,11.4346,0.0,1227,1093.0,803.0,0.0,-1.95,8.69,7.79,0.0,165,132.0,0.0,0.0,many,SR,2
0,250,5335,0,0,32.0486,17.0045,13.7826,0.0,0.0,1671,1213.0,0.0,0.0,6.19,12.62,0.0,0.0,70,0.0,0.0,0.0,one,SR,1
0,4354,8229,0,0,78.4617,43.521,32.2084,0.0,0.0,4551,3110.0,0.0,0.0,23.2,27.32,0.0,0.0,2,0.0,0.0,0.0,one,SR,1
0,4361,7479,7478,0,58.1402,22.3625,16.8493,16.8493,0.0,1802,1262.0,1262.0,0.0,0.21,10.4,10.4,0.0,205,0.0,0.0,0.0,many,SR,2
0,4372,4393,4392,0,75.3133,30.9794,20.9148,20.9148,0.0,2381,1616.0,1616.0,0.0,2.46,12.52,12.52,0.0,79,0.0,0.0,0.0,many,SR,2
21,4378,7340,799,0,73.3626,24.8301,19.6017,27.0875,0.0,2613,2506.0,3173.0,0.0,10.85,13.24,12.19,0.0,141,746.0,987.0,0.0,many,TR,2
184,4398,5056,1335,0,68.141,15.7496,33.3151,17.7672,0.0,1312,2741.0,1963.0,0.0,1.99,10.07,10.02,0.0,80,448.0,541.0,0.0,many,TR,2
0,306,8443,4439,0,54.5318,21.7489,13.442,17.3906,0.0,1390,973.0,1371.0,0.0,-2.96,8.76,10.75,0.0,85,0.0,47.0,0.0,many,SR,2
231,4413,3492,1222,0,93.132,16.3939,50.3297,24.9003,0.0,1138,3788.0,1674.0,0.0,-1.62,12.54,10.54,0.0,102,393.0,-46.0,0.0,many,TR,2
262,4419,1115,0,0,34.4062,11.1967,22.177,0.0,0.0,1500,2267.0,0.0,0.0,6.46,13.33,0.0,0.0,231,430.0,0.0,0.0,one,RT,1
0,338,3397,0,0,21.9797,11.7491,9.2751,0.0,0.0,1161,780.0,0.0,0.0,3.59,9.55,0.0,0.0,90,0.0,0.0,0.0,one,SR,1
0,340,8129,0,0,35.4753,18.6675,15.4337,0.0,0.0,2030,1372.0,0.0,0.0,8.95,13.74,0.0,0.0,115,0.0,0.0,0.0,one,SR,1
0,356,4870,0,0,38.3942,20.3869,16.5498,0.0,0.0,1946,1484.0,0.0,0.0,7.32,14.57,0.0,0.0,45,0.0,0.0,0.0,one,SR,1
0,372,5234,2807,0,40.5937,15.1241,11.9362,11.9278,0.0,1344,844.0,844.0,0.0,-0.34,8.03,8.03,0.0,262,-1.0,0.0,0.0,many,SR,2
0,378,5407,0,0,58.9408,31.8687,24.9326,0.0,0.0,3156,2354.0,0.0,0.0,13.88,21.4,0.0,0.0,29,0.0,0.0,0.0,one,SR,1
0,382,9885,805,0,63.9622,25.4102,15.3667,20.9355,0.0,1784,1136.0,1784.0,0.0,-1.52,9.68,12.82,0.0,121,0.0,121.0,0.0,many,SR,2
